Agent	Subject	condition1	condition2	GameNb	Points	Entropy	Periodicity	Amplitude	MuIFI	StdIFI	CV	Resets	Deflations	Misses	GameSpeed	Temperature
Model	model_194171356751_18	medium	medium	10	2968	3.05823426	640	0.244841045	646.3302752	146.9775652	0.227403188	9	0	8	MMM	no
Model	model_194171356751_18	medium	medium	11	2964	2.955937099	640	0.260495598	664.0612245	137.430513	0.206954582	2	6	12	MMM	no
Model	model_194171356751_18	medium	medium	12	3176	2.738140683	592	0.356234106	588.1728395	156.1270289	0.265444132	7	3	6	MMM	no
Model	model_194171356751_18	medium	medium	13	3160	2.620232156	576	0.387282249	576.424581	86.00856563	0.14921044	6	2	11	MMM	no
Model	model_194171356751_18	medium	medium	14	3176	2.607268828	560	0.378385747	563.794702	96.09517343	0.170443555	7	0	7	MMM	no
Model	model_194171356751_18	medium	medium	15	2940	2.845447167	592	0.368365938	567.6870229	132.4487563	0.233312989	6	5	16	MMM	no
Model	model_194171356751_19	medium	medium	1	556	2.740916021	528	0.180007364	590.3856655	214.1961034	0.362807087	85	15	21	MMM	no
Model	model_194171356751_19	medium	medium	2	1452	2.791504806	624	0.229389411	638.4473684	194.0115113	0.303880196	28	20	40	MMM	no
Model	model_194171356751_19	medium	medium	3	2148	3.138751958	656	0.241475125	662.9823009	156.3907056	0.235889714	22	8	17	MMM	no
Model	model_194171356751_19	medium	medium	4	3144	2.990249936	704	0.326700001	685.8852459	147.9308765	0.215678756	0	12	16	MMM	no
Model	model_194171356751_19	medium	medium	5	2520	3.069154048	720	0.262297678	684.154321	182.4949372	0.266745282	9	10	22	MMM	no
Model	model_194171356751_19	medium	medium	6	2688	2.975486494	704	0.306785075	662.2173913	179.2952974	0.270749907	1	13	29	MMM	no
Model	model_194171356751_19	medium	medium	7	2940	3.051485917	656	0.321187053	653.1066667	169.8394986	0.260048637	1	7	15	MMM	no
Model	model_194171356751_19	medium	medium	8	2756	2.912598461	688	0.263199436	596.4233129	166.1065109	0.27850439	25	6	12	MMM	no
Model	model_194171356751_19	medium	medium	9	3132	2.873300492	640	0.373878514	620.34	132.1063122	0.212957914	0	10	21	MMM	no
Model	model_194171356751_19	medium	medium	10	2748	2.9481848	624	0.300254874	609.3924051	141.062103	0.231479916	6	7	14	MMM	no
Model	model_194171356751_19	medium	medium	11	2924	3.257386468	624	0.362111918	620.2571429	110.9554204	0.178886163	7	5	19	MMM	no
Model	model_194171356751_19	medium	medium	12	3188	2.78868087	640	0.321623076	629.7132867	125.4338832	0.199192054	3	2	5	MMM	no
Model	model_194171356751_19	medium	medium	13	2956	3.160273624	656	0.325420069	637.5	160.9986646	0.252546925	0	4	12	MMM	no
Model	model_194171356751_19	medium	medium	14	3376	2.80909786	624	0.353034536	595.0551724	132.120623	0.222030879	4	0	6	MMM	no
Model	model_194171356751_19	medium	medium	15	3152	2.854549621	608	0.324152932	623.4132231	121.0712289	0.194207027	6	2	13	MMM	no
Model	model_194171356751_20	medium	medium	1	1448	3.044407012	640	0.118754487	759.4081633	246.8758468	0.325089799	13	15	39	MMM	no
Model	model_194171356751_20	medium	medium	2	2060	3.173017876	640	0.18188432	689.1642857	199.2835242	0.289166935	1	22	36	MMM	no
Model	model_194171356751_20	medium	medium	3	1868	3.119449569	592	0.203769956	701.389313	200.62538	0.286039973	6	17	33	MMM	no
Model	model_194171356751_20	medium	medium	4	2304	3.144319472	592	0.035815781	680.3986486	184.3575675	0.270955223	5	15	25	MMM	no
Model	model_194171356751_20	medium	medium	5	2264	3.0745621	592	0.317362724	591.3687943	170.0721337	0.287590646	5	17	35	MMM	no
Model	model_194171356751_20	medium	medium	6	2148	2.891411956	688	0.223943304	654.6886228	205.8982047	0.314497912	23	12	16	MMM	no
Model	model_194171356751_20	medium	medium	7	2944	2.956219554	608	0.362259453	605.6323529	131.9482858	0.217868621	8	7	15	MMM	no
Model	model_194171356751_20	medium	medium	8	2456	3.187992743	688	0.182568931	673.9652778	201.1097135	0.298397737	1	19	39	MMM	no
Model	model_194171356751_20	medium	medium	9	2708	2.696349296	624	0.316287943	624.0792683	134.3773348	0.21532094	3	9	25	MMM	no
Model	model_194171356751_20	medium	medium	10	3388	2.702114707	624	0.341142698	602.4156627	115.0423788	0.190968439	6	0	3	MMM	no
Model	model_194171356751_20	medium	medium	11	2552	2.953463506	688	0.285940347	635.3741007	168.7054508	0.265521447	16	8	13	MMM	no
Model	model_194171356751_20	medium	medium	12	3136	2.927201724	656	0.336988071	648.9924812	129.9253398	0.200195447	0	6	17	MMM	no
Model	model_194171356751_20	medium	medium	13	2968	2.899762218	672	0.364668976	654.3193277	118.832976	0.181613122	9	0	8	MMM	no
Model	model_194171356751_20	medium	medium	14	3336	2.964438454	640	0.334408854	624.5696203	149.1374511	0.238784351	0	9	17	MMM	no
Model	model_194171356751_20	medium	medium	15	2980	2.788520606	608	0.372244748	585.2096774	129.8198053	0.221834686	8	3	5	MMM	no
Model	model_194171356751_21	medium	medium	1	1980	2.895784609	576	0.088124061	670.7650273	214.4490577	0.319708167	22	11	9	MMM	no
Model	model_194171356751_21	medium	medium	2	1536	3.172375926	544	0.232569471	637.9873418	180.7166811	0.283260606	42	8	16	MMM	no
Model	model_194171356751_21	medium	medium	3	1540	2.913274525	592	0.059157647	650.6827586	176.1662108	0.270740554	23	13	32	MMM	no
Model	model_194171356751_21	medium	medium	4	2128	2.874440605	608	0.186981577	666.8690476	178.5413971	0.26773082	9	13	25	MMM	no
Model	model_194171356751_21	medium	medium	5	2080	3.257549162	704	0.189164081	675.0661157	167.8157557	0.248591585	14	18	30	MMM	no
Model	model_194171356751_21	medium	medium	6	2356	2.822417644	624	0.255021746	627.3197279	148.9876946	0.237498819	16	6	14	MMM	no
Model	model_194171356751_21	medium	medium	7	1684	2.511318509	592	0.341103475	573.2639594	120.7873131	0.210701041	19	17	29	MMM	no
Model	model_194171356751_21	medium	medium	8	2180	2.697285417	624	0.245865448	600.0769231	117.2285046	0.195355795	30	1	7	MMM	no
Model	model_194171356751_21	medium	medium	9	2796	2.668961584	576	0.220873736	633.3164557	167.3343915	0.264219238	15	0	2	MMM	no
Model	model_194171356751_21	medium	medium	10	1784	2.62805984	576	0.363711458	578.6744186	112.8776804	0.195062503	29	3	6	MMM	no
Model	model_194171356751_21	medium	medium	11	3156	2.781394208	592	0.355305985	591.9638554	127.7333391	0.21577895	5	1	11	MMM	no
Model	model_194171356751_21	medium	medium	12	3192	2.903295601	672	0.279420249	677.0068966	187.2784207	0.27662705	2	1	4	MMM	no
Model	model_194171356751_21	medium	medium	13	2976	2.853391801	672	0.315256042	607.4285714	140.8663488	0.231906031	22	3	7	MMM	no
Model	model_194171356751_21	medium	medium	14	2920	3.321498065	624	0.414464539	618.695122	149.8572238	0.242214976	1	9	21	MMM	no
Model	model_194171356751_21	medium	medium	15	3148	2.733547209	608	0.369823382	595.9391892	112.2955335	0.188434551	3	9	13	MMM	no
Model	model_194171356751_22	medium	medium	1	696	3.739675389	608	0.280999146	818.6046512	292.8290349	0.357717287	75	19	30	MMM	no
Model	model_194171356751_22	medium	medium	2	1460	3.11292567	608	0.293277941	574.720339	175.5625769	0.305474794	56	15	40	MMM	no
Model	model_194171356751_22	medium	medium	3	1936	3.167184472	592	0.267913256	597.311828	149.2809272	0.249921264	28	7	18	MMM	no
Model	model_194171356751_22	medium	medium	4	3372	2.766278238	640	0.32083074	633.3271605	147.3729974	0.232696474	0	4	7	MMM	no
Model	model_194171356751_22	medium	medium	5	1768	2.444703741	592	0.32531202	544.1834862	95.19551731	0.174932757	55	1	8	MMM	no
Model	model_194171356751_22	medium	medium	6	2968	2.808082997	656	0.329708514	639.8911565	140.9449224	0.220263901	3	5	9	MMM	no
Model	model_194171356751_22	medium	medium	7	2784	2.654383111	624	0.330592711	610.9042553	128.9161091	0.211025063	16	2	4	MMM	no
Model	model_194171356751_22	medium	medium	8	2544	3.03395795	640	0.341158151	626.1588785	152.8954288	0.244179926	13	7	15	MMM	no
Model	model_194171356751_22	medium	medium	9	3152	2.98272777	640	0.357632922	611.7010309	116.0419552	0.18970371	3	2	13	MMM	no
Model	model_194171356751_22	medium	medium	10	3148	2.893664133	656	0.296285856	620.2697368	170.1084395	0.274249136	1	5	13	MMM	no
Model	model_194171356751_22	medium	medium	11	2500	2.859543241	592	0.281103977	598	165.9528849	0.277513185	7	9	25	MMM	no
Model	model_194171356751_22	medium	medium	12	2788	3.283524876	624	0.408705541	604.4303797	95.96316323	0.158766281	4	3	7	MMM	no
Model	model_194171356751_22	medium	medium	13	2956	2.724607769	608	0.32299406	593.8117647	127.1025518	0.21404519	11	1	15	MMM	no
Model	model_194171356751_22	medium	medium	14	2976	2.721123345	624	0.333041618	582.7080745	136.8832136	0.23490873	15	3	7	MMM	no
Model	model_194171356751_22	medium	medium	15	2560	2.960256809	592	0.342391469	597.7443609	125.3599722	0.209721714	14	5	11	MMM	no
Model	model_194171356751_23	medium	medium	1	1472	3.427542481	752	0.158436823	829.3409091	201.7657782	0.243284488	2	19	35	MMM	no
Model	model_194171356751_23	medium	medium	2	2320	3.290695959	848	0.21989762	780.5309735	219.7993885	0.281602391	0	16	21	MMM	no
Model	model_194171356751_23	medium	medium	3	2732	3.084629425	720	0.267072834	693.5328947	152.3444382	0.219664329	1	13	20	MMM	no
Model	model_194171356751_23	medium	medium	4	3172	2.885624741	640	0.292245737	657.1875	157.1735183	0.239160846	4	5	7	MMM	no
